ANY_ACCES;CODI_EXPEDIENT;CODI_UPC;CURS;QUAD;SUPERA;NOTA_NUM_DEF;GRUP_CLASSE;SEXE;NOTA_ACCES
2010-01-01;226431;240011;2010;1;N;4;41.0;H;11.796
2010-01-01;226431;240011;2010;2;S;6.2;21.0;H;11.796
2010-01-01;226431;240012;2010;1;S;6;41.0;H;11.796
2010-01-01;226431;240013;2010;1;N;4.2;41.0;H;11.796
2010-01-01;226431;240013;2010;2;S;7;20.0;H;11.796
2010-01-01;226431;240014;2010;1;S;5.3;41.0;H;11.796
2010-01-01;226431;240015;2010;1;N;4;41.0;H;11.796
2010-01-01;226431;240015;2010;2;S;7.2;21.0;H;11.796
2010-01-01;226431;240021;2011;1;S;5;30.0;H;11.796
2010-01-01;226431;240022;2010;2;S;6;42.0;H;11.796
2010-01-01;226431;240023;2011;1;N;3;10.0;H;11.796
2010-01-01;226431;240023;2011;2;S;6.8;40.0;H;11.796
2010-01-01;226431;240024;2010;2;S;7.1;22.0;H;11.796
2010-01-01;226431;240025;2011;1;S;8;30.0;H;11.796
2010-01-01;226441;240011;2010;1;N;2.5;62.0;H;9.852
2010-01-01;226441;240011;2010;2;N;3.5;22.0;H;9.852
2010-01-01;226441;240012;2010;1;S;5;62.0;H;9.852
2010-01-01;226441;240013;2010;1;N;3.2;62.0;H;9.852
2010-01-01;226441;240013;2010;2;N;4.1;20.0;H;9.852
2010-01-01;226441;240014;2010;1;N;3.8;62.0;H;9.852
2010-01-01;226441;240014;2010;2;N;4.2;21.0;H;9.852
2010-01-01;226441;240015;2010;1;N;2.6;62.0;H;9.852
2010-01-01;226441;240015;2010;2;N;2.4;33.0;H;9.852
2010-01-01;226441;240022;2010;2;N;0;53.0;H;9.852
2010-01-01;226441;240023;2010;2;N;3.6;40.0;H;9.852
2010-01-01;226455;240011;2010;1;S;8.1;33.0;H;10.642
2010-01-01;226455;240012;2010;1;S;7.2;33.0;H;10.642
2010-01-01;226455;240013;2010;1;S;5.8;32.0;H;10.642
2010-01-01;226455;240014;2010;1;S;5;32.0;H;10.642
2010-01-01;226455;240015;2010;1;S;9.2;33.0;H;10.642
2010-01-01;226455;240021;2010;2;S;6.6;31.0;H;10.642
2010-01-01;226455;240022;2010;2;S;7.3;33.0;H;10.642
2010-01-01;226455;240023;2010;2;S;8.1;32.0;H;10.642
2010-01-01;226455;240024;2010;2;S;8.1;31.0;H;10.642
2010-01-01;226455;240025;2010;2;S;5.4;33.0;H;10.642
2010-01-01;226463;240011;2010;1;N;3.2;32.0;H;10.004
2010-01-01;226463;240011;2010;2;N;4;22.0;H;10.004
2010-01-01;226463;240011;2011;2;N;4;40.0;H;10.004
2010-01-01;226463;240012;2010;1;S;5.2;32.0;H;10.004
2010-01-01;226463;240013;2010;1;N;2.1;62.0;H;10.004
2010-01-01;226463;240013;2010;2;S;5;30.0;H;10.004
2010-01-01;226463;240014;2010;1;N;4;62.0;H;10.004
2010-01-01;226463;240014;2010;2;N;4;31.0;H;10.004
2010-01-01;226463;240014;2011;1;N;4;62.0;H;10.004
2010-01-01;226463;240014;2011;2;S;7.2;20.0;H;10.004
2010-01-01;226463;240015;2010;1;N;1;32.0;H;10.004
2010-01-01;226463;240015;2010;2;N;3.3;33.0;H;10.004
2010-01-01;226463;240015;2011;1;S;5.4;621.0;H;10.004
2010-01-01;226463;240021;2011;1;N;2.7;30.0;H;10.004
2010-01-01;226463;240021;2011;2;S;6.1;80.0;H;10.004
2010-01-01;226463;240022;2011;1;S;5;30.0;H;10.004
2010-01-01;226463;240023;2011;1;N;1.5;30.0;H;10.004
2010-01-01;226463;240023;2011;2;S;7;80.0;H;10.004
2010-01-01;226463;240024;2011;1;N;3.3;20.0;H;10.004
2010-01-01;226463;240024;2011;2;N;4;20.0;H;10.004
2010-01-01;226463;240025;2010;2;S;6.7;43.0;H;10.004
